il,x,y
izmir,0.6705354273298234,0.4734854858516361
adana,0.6457718232379019,0.6164735570433263
istanbul,0.7156769721692553,0.5057433592186961
edirne,0.7274847877841125,0.4635990508504217
mugla,0.6495291331450103,0.49503839970488134
konya,0.6608980159062836,0.5669411128717272
agri,0.6916202613309764,0.7508684996628224
kayseri,0.6759873123142782,0.6192206354727953
ankara,0.6967488764313766,0.5734123923123942
antalya,0.6437496847665414,0.5359143423991465
mersin,0.6422811647339133,0.6044656917896053
aydin,0.6607125572199667,0.4859281300753214
balikesir,0.6919945820956517,0.48664334854949615
sivas,0.6937275718698344,0.646083870654866
bolu,0.7081843958634912,0.551154190908418
bayburt,0.7025852399967533,0.7020565972196167
diyarbakir,0.6617312884510632,0.7021569361983139
mardin,0.6513771750234845,0.7107762098027027
sanliurfa,0.6485494972891583,0.6771338016466207
van,0.6717622192610503,0.7576280551360413
kastamonu,0.7223692626531023,0.589619868812264
isparta,0.6591195952116715,0.533312597536491
kars,0.7088945703361277,0.7522369076095561
siirt,0.6620615571054181,0.7321656212116213
bilecik,0.6991205345387417,0.5247598384298956
bingol,0.6817715952547752,0.7115639292540054
bitlis,0.6700982048989064,0.735188182410225
burdur,0.6538224511186986,0.5247598384298956
canakkale,0.7008424065655893,0.4610140611485854
batman,0.6611511061011154,0.7179427586041942
cankiri,0.708627116081552,0.586664869309005
corum,0.7077407157143417,0.6100895440652591
denizli,0.6593246539454882,0.5076532730191535
duzce,0.7128596442373935,0.543784206529314
elazig,0.6751102669118585,0.6846297987977187
amasya,0.7094747701393681,0.6254443225057744
erzincan,0.693768377667746,0.6894050545377601
artvin,0.7187749315915452,0.7298668829604046
rize,0.7159349318327,0.7072676093140036
erzurum,0.6963863715457375,0.7202973822980598
eskisehir,0.6942338046193753,0.5326841917393105
gaziantep,0.6469275802685726,0.6524620193266466
giresun,0.7140632581961538,0.6700236967931388
gumushane,0.7057865054574688,0.6895543849085608
manisa,0.6740304317036496,0.4787249817194156
bursa,0.702789356252774,0.5072528595821609
hakkari,0.655952904723438,0.7632906537210893
hatay,0.6353321188638053,0.6344238669743599
igdir,0.6961766527828179,0.7680292750001314
kahramanmaras,0.6559965030481528,0.6446748663497309
aksaray,0.6696599701770232,0.5940573684354595
karabuk,0.7191821169060354,0.5693325106529323
karaman,0.6488423809909356,0.5799510589154808
ardahan,0.717513250528571,0.7452934816996395
afyonkarahisar,0.676327546798662,0.5333148839178111
kirikkale,0.6954582229028194,0.5849514795823221
kirklareli,0.7283840686812028,0.47502045056888753
kirsehir,0.6831653279289552,0.5963948879026555
kilis,0.6408569586109933,0.6478875113571695
adiyaman,0.6591192461458211,0.6680869223754932
kocaeli,0.7130240717062238,0.5215309095005359
kutahya,0.6879506193121957,0.5233078815718689
malatya,0.6694243507280039,0.668626211661067
bartin,0.7257262463896808,0.5665509619707364
mus,0.6797392291539978,0.7287429083754127
nevsehir,0.6753366535691346,0.6053788131476637
nigde,0.6626433451582779,0.6053383564156024
ordu,0.7153036287889611,0.6610680807885979
osmaniye,0.6494898283302554,0.6313948655108162
sakarya,0.710244233446695,0.531204274706667
samsun,0.7206950032082492,0.6341004574639655
sinop,0.7334421550265299,0.6135367962307505
sirnak,0.6530803545740431,0.7416224085108721
tekirdag,0.7152940992912452,0.4802564383248705
tokat,0.7036585825801448,0.6379178416039274
trabzon,0.715610300591829,0.6932063816486038
tunceli,0.6860427650002557,0.6883365290631042
usak,0.675133514697495,0.5132697425520713
yalova,0.7094763409356949,0.5107997002347713
yozgat,0.6949566152757962,0.6076309685611446
zonguldak,0.72355083310341,0.554992553905989
