"","dimension","Birth","Death"
"1",0,0,Inf
"2",0,0,0.0548193089833304
"3",0,0,0.0423154151137954
"4",0,0,0.0418889146498002
"5",0,0,0.0408540747638254
"6",0,0,0.0394574604137831
"7",0,0,0.0364302300018662
"8",0,0,0.0336755077737403
"9",0,0,0.0321923937218988
"10",0,0,0.0304247597716378
"11",0,0,0.0303401090970726
"12",0,0,0.0303164391814775
"13",0,0,0.0282828018595791
"14",0,0,0.0272477226133335
"15",0,0,0.0251719024715953
"16",0,0,0.0250239612056572
"17",0,0,0.0239094738731893
"18",0,0,0.0209769736865564
"19",0,0,0.0173284243921406
"20",0,0,0.0158527023712781
"21",0,0,0.0155885606590755
"22",0,0,0.0144244925998663
"23",0,0,0.0134721765998847
"24",0,0,0.0125049400135702
"25",1,0.0460248012972348,0.062918993871053
"26",1,0.0502935153477148,0.0544135585078196
"27",1,0.0566692544837055,0.059506362929814
"28",1,0.050028317753708,0.0504848710093291
